0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0767,0.0787,0.0778,0.0943,0.1213,0.081,0.0814,0.0805,0.0975,0.0791,0.078,0.086
B,0.0965,0.0769,0.1166,0.12,0.0861,0.0973,0.1048,0.1632,0.1508,0.103,0.0755,0.0752
C,0.0768,0.0771,0.1214,0.1632,0.2367,0.194,0.0948,0.172,0.1933,0.2076,0.1278,0.0798
D,0.0768,0.0667,0.0973,0.1765,0.1886,0.1939,0.1671,0.2115,0.1606,0.2044,0.0846,0.1574
E,0.0767,0.0796,0.1402,0.1934,0.2797,0.1637,0.1605,0.1495,0.1589,0.159,0.1313,0.076
F,0.0931,0.101,0.1207,0.1641,0.1676,0.1885,0.1567,0.1592,0.1355,0.1247,0.0906,0.1024
G,0.0804,0.0763,0.0776,0.0798,0.0794,0.0771,0.082,0.0817,0.0763,0.0756,0.0836,0.0842
H,0.1019,0.0766,0.0795,0.0815,0.1214,0.1061,0.082,0.0878,0.079,0.0802,0.087,0.0967
,,,,,,,,,,,,
12,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0764,0.0857,0.0836,0.0846,0.0837,0.0812,0.0844,0.0825,0.0866,0.0791,0.0833,0.0805
B,0.0875,0.0847,0.085,0.0841,0.0832,0.0862,0.0943,0.0932,0.0871,0.0813,0.0751,0.0782
C,0.0841,0.0872,0.0881,0.0866,0.0892,0.0877,0.0879,0.1074,0.0941,0.0811,0.0801,0.0798
D,0.0835,0.0958,0.0854,0.0874,0.0843,0.0855,0.0853,0.0892,0.085,0.086,0.0797,0.0988
E,0.0815,0.0863,0.0848,0.0894,0.0829,0.0869,0.0852,0.0928,0.0856,0.0913,0.0837,0.0778
F,0.0834,0.1116,0.088,0.0856,0.0803,0.0908,0.0814,0.0897,0.086,0.0917,0.0861,0.0838
G,0.0772,0.08,0.0889,0.0929,0.0858,0.0777,0.0805,0.0863,0.0808,0.0806,0.0852,0.0803
H,0.1159,0.0799,0.0832,0.0857,0.0841,0.0836,0.0859,0.0811,0.0791,0.0801,0.0894,0.0819
,,,,,,,,,,,,
24,1,2,3,4,5,6,7,8,9,10,11,12
A,0.139,0.0809,0.0814,0.093,0.0797,0.098,0.1469,0.0786,0.1956,0.1197,0.2326,0.2017
B,0.203,0.0809,0.113,0.108,0.1223,0.1294,0.1302,0.1471,0.1503,0.1954,0.0749,0.2013
C,0.0774,0.1941,0.1851,0.1129,0.0834,0.1481,0.0889,0.1473,0.179,0.1409,0.14,0.1106
D,0.113,0.187,0.1195,0.1798,0.0852,0.0937,0.1529,0.1902,0.1186,0.1876,0.1316,0.1996
E,0.2091,0.1894,0.1219,0.2152,0.0824,0.2182,0.1845,0.09,0.1001,0.1871,0.1882,0.0757
F,0.2063,0.1444,0.1909,0.1217,0.1077,0.1451,0.0829,0.2311,0.0863,0.2089,0.1972,0.1721
G,0.1536,0.1808,0.1884,0.1832,0.1368,0.1004,0.1458,0.1797,0.0761,0.0754,0.1521,0.1763
H,0.1007,0.192,0.1763,0.2124,0.0816,0.1672,0.1831,0.0976,0.0802,0.1556,0.1925,0.1862
,,,,,,,,,,,,
36,1,2,3,4,5,6,7,8,9,10,11,12
A,0.284,0.1541,0.1763,0.2377,0.0978,0.2445,0.2702,0.0948,0.3311,0.2604,0.3744,0.3474
B,0.3794,0.1009,0.2415,0.2347,0.2436,0.2521,0.2735,0.246,0.2904,0.3067,0.0924,0.3424
C,0.1166,0.3295,0.2864,0.2466,0.0954,0.2458,0.1866,0.2674,0.3285,0.2456,0.2445,0.2707
D,0.2654,0.2806,0.242,0.2778,0.0966,0.2085,0.2671,0.3027,0.2559,0.2876,0.2623,0.3784
E,0.3892,0.2971,0.2597,0.3189,0.0966,0.327,0.2878,0.1111,0.2284,0.2952,0.2962,0.0905
F,0.3466,0.2973,0.2835,0.2621,0.2365,0.2441,0.1957,0.3374,0.147,0.3288,0.2909,0.3329
G,0.2898,0.2972,0.3173,0.2956,0.2588,0.2201,0.2608,0.2575,0.0944,0.0931,0.2482,0.346
H,0.0985,0.3449,0.408,0.4233,0.1038,0.3504,0.3388,0.2436,0.1515,0.3507,0.3776,0.3406
,,,,,,,,,,,,
48,1,2,3,4,5,6,7,8,9,10,11,12
A,0.3778,0.3351,0.297,0.3683,0.0947,0.3439,0.4147,0.0886,0.441,0.3669,0.5035,0.5039
B,0.5038,0.0918,0.2928,0.2896,0.2892,0.2992,0.3185,0.3182,0.3328,0.3856,0.0852,0.5465
C,0.265,0.4765,0.3203,0.3167,0.0934,0.2703,0.2716,0.3152,0.3716,0.2989,0.2889,0.4298
D,0.4655,0.4022,0.2905,0.3273,0.0946,0.2759,0.3684,0.3465,0.3069,0.3371,0.324,0.4892
E,0.5703,0.376,0.2867,0.3928,0.0911,0.4072,0.3119,0.1,0.2918,0.3645,0.381,0.0843
F,0.5246,0.4107,0.3684,0.3051,0.278,0.2821,0.2848,0.3849,0.2401,0.379,0.3824,0.4322
G,0.4095,0.4091,0.4634,0.4509,0.3084,0.2743,0.2881,0.3206,0.0853,0.0851,0.3368,0.4802
H,0.0961,0.441,0.4744,0.5329,0.0992,0.4592,0.4972,0.3706,0.2881,0.434,0.4467,0.4045
,,,,,,,,,,,,
60,1,2,3,4,5,6,7,8,9,10,11,12
A,0.3382,0.4344,0.417,0.4624,0.106,0.4528,0.5099,0.0977,0.6029,0.4902,0.5919,0.6171
B,0.6171,0.1213,0.4736,0.3534,0.4742,0.4537,0.4034,0.41,0.3659,0.4173,0.1191,0.7029
C,0.3857,0.386,0.4302,0.4736,0.1066,0.411,0.3235,0.4755,0.4756,0.438,0.4038,0.4956
D,0.5759,0.4541,0.52,0.4637,0.1124,0.3398,0.4704,0.4971,0.4625,0.4535,0.47,0.5792
E,0.68,0.3997,0.6088,0.5321,0.1058,0.3624,0.479,0.117,0.4336,0.5053,0.5647,0.1277
F,0.6103,0.4865,0.448,0.5929,0.3183,0.4053,0.3275,0.5614,0.2869,0.5327,0.5515,0.5074
G,0.4139,0.542,0.4512,0.5311,0.4708,0.4204,0.4747,0.4494,0.1155,0.0992,0.4598,0.5769
H,0.0697,0.5048,0.5782,0.6187,0.1327,0.5583,0.5801,0.4568,0.3785,0.5288,0.5535,0.4275
,,,,,,,,,,,,
72,1,2,3,4,5,6,7,8,9,10,11,12
A,0.3141,0.5048,0.4905,0.5153,0.1538,0.516,0.5313,0.1642,0.558,0.5188,0.4402,0.5657
B,0.4616,0.148,0.4013,0.4314,0.3745,0.4357,0.4529,0.4201,0.4224,0.5959,0.15,0.7267
C,0.4562,0.3052,0.5263,0.4185,0.1367,0.4378,0.3773,0.42,0.3091,0.4723,0.4422,0.5462
D,0.5716,0.3885,0.3725,0.4559,0.1883,0.4563,0.4125,0.3397,0.4241,0.341,0.4408,0.583
E,0.7708,0.3949,0.3381,0.4896,0.1335,0.6915,0.4097,0.1733,0.444,0.5144,0.4173,0.1506
F,0.5051,0.4522,0.3588,0.3637,0.4189,0.4675,0.359,0.6915,0.3803,0.7344,0.5183,0.5481
G,0.3164,0.4262,0.324,0.4732,0.457,0.4636,0.4539,0.3783,0.1521,0.1364,0.4788,0.6213
H,0.0713,0.2848,0.4317,0.4503,0.2147,0.4588,0.5092,0.4569,0.4411,0.524,0.5431,0.298
