0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0761,0.0766,0.0764,0.0835,0.1798,0.0795,0.0806,0.0841,0.0797,0.0806,0.0769,0.0936
B,0.0762,0.0741,0.0799,0.077,0.0773,0.0794,0.0773,0.1492,0.0809,0.0766,0.0752,0.0749
C,0.0792,0.0759,0.0761,0.0767,0.1304,0.1474,0.0777,0.0788,0.0893,0.1783,0.1723,0.0778
D,0.0784,0.0768,0.0811,0.0843,0.0813,0.0803,0.0801,0.08,0.0763,0.0778,0.0819,0.1585
E,0.0752,0.0793,0.0777,0.0751,0.0974,0.0777,0.0752,0.0814,0.0771,0.0769,0.0798,0.0769
F,0.1,0.0843,0.0758,0.0772,0.077,0.1073,0.0768,0.0777,0.0774,0.0779,0.0759,0.0828
G,0.0773,0.0758,0.0767,0.0815,0.0768,0.0809,0.0897,0.0826,0.0744,0.0743,0.0777,0.0792
H,0.1577,0.0762,0.0768,0.0795,0.1459,0.0777,0.0774,0.0813,0.0791,0.0786,0.0835,0.0786
,,,,,,,,,,,,
12,1,2,3,4,5,6,7,8,9,10,11,12
A,0.142,0.1797,0.1223,0.1301,0.1874,0.1428,0.2207,0.2211,0.3005,0.1817,0.2449,0.1826
B,0.2932,0.1065,0.2058,0.2624,0.2359,0.1797,0.2022,0.2597,0.2013,0.2715,0.1094,0.3684
C,0.1833,0.2693,0.2393,0.19,0.1572,0.2215,0.1835,0.1521,0.2801,0.243,0.2297,0.1486
D,0.2726,0.1509,0.1634,0.1828,0.1769,0.1589,0.2806,0.1966,0.1618,0.2688,0.1831,0.3221
E,0.3819,0.243,0.1857,0.2604,0.156,0.2396,0.1416,0.1795,0.1815,0.2344,0.1023,0.0972
F,0.3136,0.208,0.1451,0.187,0.1544,0.2572,0.1676,0.2703,0.1758,0.216,0.2855,0.22
G,0.1822,0.2529,0.2153,0.2436,0.1979,0.1884,0.172,0.263,0.1031,0.102,0.1977,0.3107
H,0.1221,0.3246,0.285,0.3712,0.1705,0.2918,0.3037,0.2365,0.1144,0.1353,0.3155,0.393
,,,,,,,,,,,,
24,1,2,3,4,5,6,7,8,9,10,11,12
A,0.3081,0.2638,0.2856,0.2876,0.3363,0.3243,0.3909,0.3197,0.4471,0.3949,0.402,0.3431
B,0.4271,0.112,0.303,0.2859,0.2872,0.2655,0.2833,0.2987,0.2876,0.3346,0.1113,0.3056
C,0.3525,0.3248,0.2879,0.2693,0.3806,0.3022,0.2703,0.2601,0.3255,0.3191,0.3256,0.3205
D,0.3982,0.303,0.2634,0.2741,0.278,0.2848,0.3059,0.2774,0.255,0.3127,0.2721,0.4091
E,0.3266,0.3001,0.2634,0.3591,0.3918,0.2882,0.2775,0.2901,0.2915,0.3224,0.1049,0.103
F,0.4442,0.2865,0.2528,0.2625,0.2628,0.3067,0.2896,0.3455,0.2968,0.3093,0.3929,0.3363
G,0.3287,0.3312,0.3102,0.3336,0.2953,0.3098,0.2363,0.3244,0.1057,0.1054,0.3395,0.4186
H,0.292,0.35,0.4486,0.422,0.3193,0.3987,0.3678,0.4274,0.3387,0.3254,0.3365,0.3301
,,,,,,,,,,,,
36,1,2,3,4,5,6,7,8,9,10,11,12
A,0.3573,0.2579,0.351,0.3895,0.4341,0.4087,0.3887,0.3638,0.411,0.3633,0.3177,0.3874
B,0.2704,0.0974,0.3687,0.3425,0.3713,0.3259,0.347,0.3325,0.3368,0.3989,0.1041,0.3169
C,0.3427,0.4392,0.3386,0.3228,0.4565,0.3388,0.3567,0.2717,0.3882,0.3287,0.383,0.3378
